distance_km,hour_of_day,is_weekend,traffic_factor,duration_minutes
8.98,23,0,1.95,42.53
10.329,0,0,2.017,49.61
6.249,0,0,1.987,29.33
19.787,11,1,1.955,93.57
6.226,17,1,1.989,27.53
15.046,9,0,2.93,103.79
12.763,5,1,1.264,37.58
9.096,7,0,1.586,32.57
16.624,10,0,1.546,62.97
19.853,10,0,2.489,118.83
12.763,7,1,1.863,55.27
11.026,1,0,1.06,28.91
11.294,19,1,1.988,56.82
15.331,8,1,1.158,42.07
14.181,8,0,2.162,75.23
14.531,5,0,1.818,64.71
17.282,9,0,1.168,51.06
5.378,4,0,1.922,22.28
12.693,6,0,2.012,59.49
12.843,2,1,0.752,24.51
12.38,1,0,0.915,28.49
5.131,23,1,1.092,13.71
9.753,11,1,1.349,31.9
13.281,3,0,1.126,35.5
10.06,2,1,1.956,47.65
16.651,7,0,1.491,59.04
16.563,0,1,1.126,45.1
14.949,22,1,0.957,32.71
10.431,23,1,0.807,18.68
2.837,5,0,1.812,11.44
17.78,7,0,1.853,77.34
8.27,7,1,1.326,27.27
11.846,2,0,1.579,49.89
14.701,2,0,1.428,50.34
12.889,20,0,2.516,74.56
3.585,23,0,1.263,9.7
9.07,8,1,1.435,31.65
16.31,4,1,0.967,37.6
11.891,22,0,1.728,50.31
15.486,1,1,1.041,37.0
19.285,13,0,2.374,109.94
8.62,10,1,2.532,53.26
13.29,3,1,2.054,66.2
13.119,7,0,0.84,25.63
19.449,8,1,2.212,99.83
9.38,5,1,0.779,20.02
4.578,16,0,1.455,14.97
11.529,23,0,1.419,38.74
8.962,3,1,1.496,31.51
11.444,12,0,1.846,49.56
8.407,13,1,1.431,27.91
15.981,2,1,1.509,58.23
9.105,21,1,1.064,23.35
15.577,13,0,2.021,75.88
7.699,3,1,1.055,20.26
13.186,4,1,1.741,52.93
5.834,19,1,2.588,33.18
11.653,20,1,2.459,67.83
12.047,9,0,1.64,46.64
15.451,2,1,1.344,51.52
7.468,18,0,2.933,52.72
19.297,13,0,1.63,74.03
4.41,12,0,2.229,27.28
4.932,2,1,0.928,8.94
3.647,10,1,2.45,19.63
